time_sec	Acc_m_s2
0	-0.0231554007868342
0.0025	-0.0215674191437288
0.005	-0.0184085241322196
0.0075	-0.0138050417949429
0.01	-0.00799617993275552
0.0125	-0.00131075835246756
0.015	0.00586433997443631
0.0175	0.013120343637373
0.02	0.0200633442426977
0.0225	0.0263211618001799
0.025	0.031645577322815
0.0275	0.0358637085911387
0.03	0.0389030339257892
0.0325	0.0407865883089905
0.035	0.0416185811736019
0.0375	0.041562836262189
0.04	0.0408171477136978
0.0425	0.0395420950961094
0.045	0.0379649532539843
0.0475	0.0362492662461746
0.05	0.0345135205290455
0.0525	0.0328248178996277
0.055	0.0311995653340045
0.0575	0.0296104833407181
0.06	0.0279986220404331
0.0625	0.0262082314305614
0.065	0.0242328021778613
0.0675	0.0220308782239593
0.07	0.0195948532203146
0.0725	0.0169575398428987
0.075	0.0141934646273374
0.0775	0.0114152240888132
0.08	0.00876583020279463
0.0825	0.00628469321048218
0.085	0.00424872694306851
0.0875	0.00285291018721539
0.09	0.00228452054184259
0.0925	0.00270916772596912
0.095	0.0042578860708445
0.0975	0.00701636876951846
0.1	0.0110173276863891
0.1025	0.0160952112522563
0.105	0.0222905418735788
0.1075	0.0295024857827453
0.11	0.0375946712268971
0.1125	0.0464010510693399
0.115	0.0557324172570461
0.1175	0.0653834110338379
0.12	0.0751399760191608
0.1225	0.0846753817469749
0.125	0.0938774065909327
0.1275	0.102578093794375
0.13	0.110638140378127
0.1325	0.117948884897592
0.135	0.124431669456251
0.1375	0.130034926574148
0.14	0.134729609418295
0.1425	0.138454909437449
0.145	0.1412521899276
0.1475	0.143138722074801
0.15	0.144137915776429
0.1525	0.144275736136151
0.155	0.143578482059643
0.1575	0.142072094899402
0.16	0.13978297043703
0.1625	0.136719419441724
0.165	0.132933547666763
0.1675	0.128473297610391
0.17	0.123399882444668
0.1725	0.117789547628858
0.175	0.111734064756078
0.1775	0.105339834452528
0.18	0.0987256629917486
0.1825	0.0919915397237929
0.185	0.085294105584465
0.1875	0.0787726982307094
0.19	0.0725639138345918
0.1925	0.0667961381640906
0.195	0.0615843461973073
0.1975	0.0570255686325888
0.2	0.0531953805457263
0.2025	0.0501229595461636
0.205	0.0478497854686353
0.2075	0.0463869047480278
0.21	0.0457263466477232
0.2125	0.0458430832983782
0.215	0.0466977599627725
0.2175	0.0482401865085047
0.22	0.0504135303215517
0.2225	0.0531122788635278
0.225	0.0563254315297349
0.2275	0.0600136722080329
0.23	0.0641513970338179
0.2325	0.0687286009539172
0.235	0.073750855178861
0.2375	0.079237281979397
0.24	0.0852166780901815
