time (sec)	Acc (m/s^2)
38.74	0.04329
38.76	0.04663
38.78	0.04668
38.8	0.04245
38.82	0.02553
38.84	0.01741
38.86	0.02406
38.88	0.02967
38.9	0.04283
38.92	0.04791
38.94	0.03916
38.96	0.03079
38.98	0.00744
39	-0.00495
39.02	-0.0079
39.04	-0.01656
39.06	-0.00726
39.08	-0.00337
39.1	-0.0036
39.12	-0.01654
39.14	-0.02505
39.16	-0.00908
39.18	0.00839
39.2	0.02174
39.22	0.02357
39.24	0.02177
39.26	0.02202
39.28	0.02486
39.3	0.03102
39.32	0.03982
39.34	0.03528
39.36	0.0241
39.38	0.00704
39.4	-0.01505
39.42	-0.03531
39.44	-0.04086
39.46	-0.02904
39.48	-0.02892
39.5	-0.01901
39.52	-0.00711
39.54	-0.00208
39.56	0.00759
39.58	0.01817
39.6	0.02325
39.62	0.01481
39.64	0.00911
39.66	0.00366
39.68	-0.01196
39.7	-0.01826
39.72	-0.01952
39.74	-0.01651
39.76	-0.01364
39.78	-0.01548
39.8	-0.02143
39.82	-0.03007
39.84	-0.02723
39.86	-0.01878
39.88	-0.00993
39.9	0.00586
39.92	0.00465
39.94	0.00066
39.96	0.01004
39.98	0.00918
