time_sec	Acc_m_s2
0	-0.000737247944544439
0.05	0.028570379333118
0.1	0.0252695796443774
0.15	0.137252465659821
0.2	0.058272553246414
0.25	0.119997123033089
0.3	0.256219412849878
0.35	0.0744387187844149
0.4	0.0572453975688204
0.45	0.0858553119757266
0.5	0.0627523026422079
0.55	-0.0178121874046356
0.6	-0.298789320127935
0.65	0.122216770466863
0.7	0.0898843531623909
0.75	-0.164608167861351
0.8	0.496245657689953
0.85	0.881852374838026
0.9	-0.300966631401174
0.95	-0.809138143523315
1	0.799354261012147
1.05	-0.095329726204847
1.1	-0.630211585892615
1.15	0.354675849885002
1.2	0.343734723436243
1.25	0.118691540144583
1.3	0.3914509062777
1.35	0.0466787368626756
1.4	0.137373519318473
1.45	-0.129279078542432
1.5	0.148484151497151
1.55	0.25727679805271
1.6	0.168749849034302
1.65	0.161377060147004
1.7	0.645994567355869
1.75	0.633067023217321
1.8	0.142547312908307
1.85	-0.0164332828157986
1.9	-0.0195576219081071
1.95	-0.087348189209158
2	0.275510684753958
2.05	-0.879428434243244
2.1	-1.30983735473146
2.15	-1.32992195976235
2.2	-2.0015847771373
2.25	-1.98113435361928
2.3	-0.844851281400756
2.35	1.45308172197609
2.4	2.40153000370535
2.45	1.99697032731248
2.5	0.271212518710586
2.55	-1.76304106096441
2.6	-1.21751110887543
2.65	1.69490136178241
2.7	2.91986624870608
2.75	-2.09050093411524
2.8	-1.03250226781613
2.85	0.0618560710841429
2.9	-1.74943223327848
2.95	-1.30113640662006
3	-0.0563417765924275
3.05	-0.728847924408335
3.1	-1.93539381852998
3.15	-1.70285372029502
3.2	-0.832867479859793
3.25	1.20422021544157
3.3	1.36880621551466
3.35	1.57702460504398
3.4	2.00669606053176
3.45	2.29411964217386
3.5	2.6271377389921
3.55	0.923738274635002
3.6	0.0289655747403144
3.65	-1.04679733213984
3.7	-3.1225729315717
3.75	-3.31812968491739
3.8	-3.34945040404634
3.85	-2.29517207627985
3.9	-0.453197223420977
3.95	-0.381234882204426
4	2.66751645681696
4.05	4.1793473381536
4.1	2.25163915756345
4.15	2.70862228557242
4.2	3.2378416858759
4.25	1.93694236823896
4.3	-1.55869829196909
4.35	-2.74943834328037
4.4	-3.23870274434971
4.45	-1.09971942165486
4.5	0.398814110025311
4.55	0.27262382799502
4.6	-1.32812039982144
4.65	-0.47081911941127
4.7	1.06476896756529
4.75	2.16172115204593
4.8	1.06983516286496
4.85	-0.699831018048558
4.9	0.34237955500281
4.95	0.272760429531323
5	-0.563241602651444
5.05	-1.28188687703137
5.1	-1.10497784188203
5.15	-1.04816553794792
5.2	-0.995405460590873
5.25	-0.830221546884189
5.3	-0.0319583028569205
5.35	0.864212668846785
5.4	1.08847216087459
5.45	0.261932736522128
