time_sec	Acc_m_s2
0	-0.0231556212963222
0.0002	-0.0230872316073843
0.0004	-0.0230086834752039
0.0006	-0.022919952555139
0.0008	-0.0228210197354715
0.001	-0.0227118711517761
0.0012	-0.0225924981978188
0.0014	-0.0224628975329822
0.0016	-0.0223230710862139
0.0018	-0.0221730260564997
0.002	-0.0220127749098638
0.0022	-0.0218423353729028
0.0024	-0.0216617304228604
0.0026	-0.0214709882742559
0.0028	-0.0212701423620778
0.003	-0.02105923132156
0.0032	-0.0208382989645589
0.0034	-0.0206073942525532
0.0036	-0.0203665712662888
0.0038	-0.0201158891720961
0.004	-0.0198554121849087
0.0042	-0.0195852095280134
0.0044	-0.0193053553895658
0.0046	-0.0190159288759075
0.0048	-0.0187170139617231
0.005	-0.018408699437077
0.0052	-0.0180910788513734
0.0054	-0.0177642504542848
0.0056	-0.0174283171336958
0.0058	-0.0170833863507109
0.006	-0.0167295700717799
0.0062	-0.0163669846979926
0.0064	-0.0159957509915985
0.0066	-0.015615993999811
0.0068	-0.0152278429759524
0.007	-0.0148314312980045
0.0072	-0.014426896384625
0.0074	-0.0140143796086963
0.0076	-0.0135940262084737
0.0078	-0.0131659851963986
0.008	-0.0127304092656508
0.0082	-0.0122874546945068
0.0084	-0.0118372812485804
0.0086	-0.0113800520810177
0.0088	-0.0109159336307237
0.009	-0.0104450955186959
0.0092	-0.00996771044254393
0.0094	-0.00948395406927452
0.0096	-0.00899400492642151
0.0098	-0.00849804429160279
0.01	-0.00799625608058639
0.0102	-0.00748882673394875
0.0104	-0.00697594510240942
0.0106	-0.00645780233092684
0.0108	-0.00593459174164068
0.011	-0.00540650871574685
0.0112	-0.00487375057439173
0.0114	-0.00433651645867287
0.0116	-0.00379500720883336
0.0118	-0.003249425242738
0.012	-0.00269997443371922
0.0122	-0.002146859987881
0.0124	-0.00159028832094932
0.0126	-0.00103046693475744
0.0128	-0.000467604293454611
0.013	9.80903004734364e-05
0.0132	0.000666406830284213
0.0134	0.00123713468907021
0.0136	0.00181006280377485
0.0138	0.0023849797590458
0.014	0.0029616739208382
0.0142	0.00353993355968169
0.0144	0.00411954697352532
0.0146	0.00470030261007509
0.0148	0.00528198918853947
0.015	0.00586439582069943
0.0152	0.00644731213121965
0.0154	0.00703052837711897
0.0156	0.00761383556631887
0.0158	0.00819702557518993
0.016	0.00877989126501703
0.0162	0.00936222659730534
0.0164	0.00994382674785025
0.0166	0.0105244882194958
0.0168	0.0111040089535071
0.017	0.0116821884394839
0.0172	0.0122588278237436
0.0174	0.0128337300161035
0.0176	0.0134066997949943
0.0178	0.0139775439108364
0.018	0.0145460711876149
0.0182	0.0151120926225881
0.0184	0.0156754214840683
0.0186	0.0162358734072134
0.0188	0.0167932664877718
0.019	0.0173474213737217
0.0192	0.0178981613547515
0.0194	0.0184453124495267
0.0196	0.0189887034906931
0.0198	0.0195281662075644
0.02	0.0200635353064503
0.0202	0.0205927730429537
0.0204	0.0211175472124768
0.0206	0.0216377033659375
0.0208	0.0221530904234405
0.021	0.0226635607416999
0.0212	0.0231689701787196
0.0214	0.0236691781556996
0.0216	0.0241640477161332
0.0218	0.0246534455820696
0.022	0.0251372422075096
