time_sec	Acc_m_s2
0	-0.0231519742695928
0.01	-0.00799499666459891
0.02	0.020060375285451
0.03	0.0388972770866952
0.04	0.0408111076256133
0.05	0.0345084132465484
0.06	0.0279944788272778
0.07	0.0195919535899856
0.08	0.00876453304242149
0.09	0.00228418248036411
0.1	0.0110156973512626
0.11	0.0375891079982436
0.12	0.0751288568670582
0.13	0.11062176823674
0.14	0.134709672241054
0.15	0.144116586365719
0.16	0.139762285467564
0.17	0.123381621831143
0.18	0.0987110536490073
0.19	0.0725531758860612
0.2	0.0531875087368866
0.21	0.0457195801004017
0.22	0.0504060701686295
0.23	0.0641419039626326
0.24	0.0852040677959605
0.25	0.114434233560118
0.26	0.152909085031196
0.27	0.196076563108456
0.28	0.235111600415368
0.29	0.261295156169061
0.3	0.269109184066222
0.31	0.253638239831474
0.32	0.212639978025781
0.33	0.152795453192762
0.34	0.0928880419701383
0.35	0.0526226830726262
0.36	0.0392402951967775
0.37	0.0441250173245064
0.38	0.0530374311162972
0.39	0.0579132189902868
0.4	0.0597308929945848
0.41	0.064632904710123
0.42	0.0746486084811721
0.43	0.0855589701472052
0.44	0.0895563187930534
0.45	0.083952700317548
0.46	0.0742283911435217
0.47	0.0664217079660798
0.48	0.0642332216122671
0.49	0.0666475777912639
0.5	0.073648091010576
0.51	0.0798360421929904
0.52	0.0758992553194172
0.53	0.0528251824209659
0.54	0.00917474520536588
0.55	-0.0492667808585428
0.56	-0.112097977405583
0.57	-0.165089023956693
0.58	-0.199623245733326
0.59	-0.223654625438451
0.6	-0.247778151593114
0.61	-0.264843840790654
0.62	-0.242635491794251
0.63	-0.161428781960889
0.64	-0.0341176457473257
0.65	0.0981833318785321
0.66	0.204265646796892
0.67	0.267995816720677
0.68	0.282336025027502
0.69	0.234495485699447
0.7	0.127155765338053
0.71	-0.00596584955469443
0.72	-0.123143690280963
0.73	-0.204782840794885
0.74	-0.254651706616109
0.75	-0.249767134741926
0.76	-0.149337237661168
0.77	0.0506325749393526
0.78	0.283496625293394
0.79	0.468176636969426
0.8	0.583191628435738
0.81	0.657451935370099
0.82	0.715560089795597
0.83	0.750299666062321
0.84	0.760033091363592
0.85	0.767158764115
0.86	0.775280977615476
0.87	0.726689699575821
0.88	0.534546469015357
0.89	0.178326003929101
0.9	-0.263136094766764
0.91	-0.674601624385641
0.92	-0.979616660635309
0.93	-1.13262182220242
0.94	-1.09176466391442
0.95	-0.843235069263876
0.96	-0.445910626295252
0.97	-0.0125285716668056
0.98	0.364248390345202
0.99	0.642442770142506
1	0.80860821456103
1.01	0.840777464605322
1.02	0.720402594353281
1.03	0.460235920709267
1.04	0.128316365603945
1.05	-0.18267451502451
1.06	-0.399066398321945
1.07	-0.510562800155454
1.08	-0.554006533818451
1.09	-0.579153335055459
1.1	-0.593566994605819
1.11	-0.556403395754467
1.12	-0.414464362194418
1.13	-0.164832047430518
1.14	0.130647571310434
1.15	0.398014107518745
1.16	0.583841964791625
1.17	0.658441691825991
1.18	0.602031372407062
1.19	0.436923259948678
1.2	0.240954622443649
1.21	0.100354394749638
1.22	0.0555287196180814
1.23	0.0859138149743617
1.24	0.155010171719448
1.25	0.229589100010608
1.26	0.284457122065166
1.27	0.303745540656728
1.28	0.291470749534044
1.29	0.278422834102737
1.3	0.29049024241286
1.31	0.320191568785948
1.32	0.326428829956671
1.33	0.277029359874376
1.34	0.181443843292596
1.35	0.0809843602880431
1.36	0.0133368978830455
1.37	-0.00815102391609028
1.38	0.0113258577671474
1.39	0.0504996333787485
1.4	0.0913772605895382
1.41	0.124835912138054
1.42	0.147436254467035
